segment,node_type,post_id,comment_id,source,labels,text_orig,keywords
congestion isp throttle,1,post071,c088,2,set(),Strong signal doesn’t always mean good speed. Check for network congestion or ISP throttling.,"{'signal', 'congestion', 'isp', 'strong', 'throttle', 'doesnt'}"
vpn connect miss,0,post072,c090,2,{'protocol'},Your VPN might be connected but missing the right routes or permissions for internal network access.,"{'internal', 'miss', 'network', 'permissions', 'connect', 'vpn'}"
permissions internal network,1,post072,c090,2,{'protocol'},Your VPN might be connected but missing the right routes or permissions for internal network access.,"{'internal', 'miss', 'network', 'permissions', 'connect', 'vpn'}"
contact push update,2,post072,c091,2,{'protocol'},I contacted IT and they had to push updated VPN configs to fix the routing.,"{'contact', 'push', 'configs', 'update', 'vpn'}"
update vpn configs,2,post072,c091,2,{'protocol'},I contacted IT and they had to push updated VPN configs to fix the routing.,"{'contact', 'push', 'configs', 'update', 'vpn'}"
latency packet loss despite low ping,0,post073,c092,2,"{'tool', 'network_concept'}",Ping only measures latency; packet loss or jitter can still cause lag despite low ping.,"{'packet', 'despite', 'latency', 'measure', 'lag', 'loss', 'low', 'ping', 'jitter', 'cause'}"
ping measure latency,1,post073,c092,2,"{'tool', 'network_concept'}",Ping only measures latency; packet loss or jitter can still cause lag despite low ping.,"{'packet', 'despite', 'latency', 'measure', 'lag', 'loss', 'low', 'ping', 'jitter', 'cause'}"
jitter cause lag,1,post073,c092,2,"{'tool', 'network_concept'}",Ping only measures latency; packet loss or jitter can still cause lag despite low ping.,"{'packet', 'despite', 'latency', 'measure', 'lag', 'loss', 'low', 'ping', 'jitter', 'cause'}"
packet loss,0,post073,c093,2,{'protocol'},"Switching VPN servers helped reduce packet loss, improving my gameplay.","{'packet', 'servers', 'improve', 'loss', 'vpn', 'switch'}"
switch vpn servers,2,post073,c093,2,{'protocol'},"Switching VPN servers helped reduce packet loss, improving my gameplay.","{'packet', 'servers', 'improve', 'loss', 'vpn', 'switch'}"
improve,1,post073,c093,2,{'protocol'},"Switching VPN servers helped reduce packet loss, improving my gameplay.","{'packet', 'servers', 'improve', 'loss', 'vpn', 'switch'}"
rout slow,0,post075,c096,2,"{'protocol', 'device'}",VPN encryption and routing can slow speeds; try a closer VPN server or a faster protocol.,"{'slow', 'closer', 'rout', 'encryption', 'server', 'vpn'}"
closer vpn server,1,post075,c096,2,"{'protocol', 'device'}",VPN encryption and routing can slow speeds; try a closer VPN server or a faster protocol.,"{'slow', 'closer', 'rout', 'encryption', 'server', 'vpn'}"
encryption,2,post075,c096,2,"{'protocol', 'device'}",VPN encryption and routing can slow speeds; try a closer VPN server or a faster protocol.,"{'slow', 'closer', 'rout', 'encryption', 'server', 'vpn'}"
phone powersaving settings,0,post076,c098,2,set(),Check your phone’s power-saving settings; some disable Wi-Fi when the screen is off.,"{'powersaving', 'wifi', 'disable', 'phone', 'settings'}"
settings disable wifi,2,post076,c098,2,set(),Check your phone’s power-saving settings; some disable Wi-Fi when the screen is off.,"{'powersaving', 'wifi', 'disable', 'phone', 'settings'}"
blacklist know vpn game service,0,post077,c100,2,"{'protocol', 'malware'}",Streaming and gaming services often blacklist known VPN IPs. Try switching servers frequently.,"{'service', 'game', 'try', 'know', 'ips', 'blacklist', 'vpn', 'switch'}"
blacklist ips,1,post077,c100,2,"{'protocol', 'malware'}",Streaming and gaming services often blacklist known VPN IPs. Try switching servers frequently.,"{'service', 'game', 'try', 'know', 'ips', 'blacklist', 'vpn', 'switch'}"
try switch,2,post077,c100,2,"{'protocol', 'malware'}",Streaming and gaming services often blacklist known VPN IPs. Try switching servers frequently.,"{'service', 'game', 'try', 'know', 'ips', 'blacklist', 'vpn', 'switch'}"
strong wifi signal,0,post078,c102,2,{'network_concept'},Strong Wi-Fi signal doesn’t always mean good internet speed; check for ISP issues or bandwidth hogs.,"{'signal', 'strong', 'wifi', 'isp', 'bandwidth', 'internet', 'speed', 'issue', 'check'}"
isp issue,1,post078,c102,2,{'network_concept'},Strong Wi-Fi signal doesn’t always mean good internet speed; check for ISP issues or bandwidth hogs.,"{'signal', 'strong', 'wifi', 'isp', 'bandwidth', 'internet', 'speed', 'issue', 'check'}"
bandwidth,1,post078,c102,2,{'network_concept'},Strong Wi-Fi signal doesn’t always mean good internet speed; check for ISP issues or bandwidth hogs.,"{'signal', 'strong', 'wifi', 'isp', 'bandwidth', 'internet', 'speed', 'issue', 'check'}"
internet speed check,2,post078,c102,2,{'network_concept'},Strong Wi-Fi signal doesn’t always mean good internet speed; check for ISP issues or bandwidth hogs.,"{'signal', 'strong', 'wifi', 'isp', 'bandwidth', 'internet', 'speed', 'issue', 'check'}"
modem speed,0,post078,c103,2,{'device'},"After rebooting my modem, the speed improved significantly.","{'speed', 'improve', 'reboot', 'modem'}"
improve reboot modem speed,2,post078,c103,2,{'device'},"After rebooting my modem, the speed improved significantly.","{'speed', 'improve', 'reboot', 'modem'}"
portals require reauthentication require reauthentication disconnection,0,post079,c104,2,set(),Many hotel networks use captive portals that require re-authentication after disconnection.,"{'portals', 'captive', 'disconnection', 'reauthentication', 'require'}"
captive portals require,1,post079,c104,2,set(),Many hotel networks use captive portals that require re-authentication after disconnection.,"{'portals', 'captive', 'disconnection', 'reauthentication', 'require'}"
vpn servers congest peak time,0,post080,c106,2,"{'protocol', 'device', 'time'}",VPN servers can get congested during peak times; try connecting outside peak hours or use a different server.,"{'congest', 'hours', 'servers', 'try', 'vpn', 'peak', 'time'}"
try peak hours,1,post080,c106,2,"{'protocol', 'device', 'time'}",VPN servers can get congested during peak times; try connecting outside peak hours or use a different server.,"{'congest', 'hours', 'servers', 'try', 'vpn', 'peak', 'time'}"
stream drop quality,0,post081,c109,2,{'device'},"Changing to a nearby server helped, but some streams still drop quality occasionally.","{'change', 'drop', 'stream', 'quality', 'server', 'nearby', 'help'}"
change nearby server,1,post081,c109,2,{'device'},"Changing to a nearby server helped, but some streams still drop quality occasionally.","{'change', 'drop', 'stream', 'quality', 'server', 'nearby', 'help'}"
server help stream,2,post081,c109,2,{'device'},"Changing to a nearby server helped, but some streams still drop quality occasionally.","{'change', 'drop', 'stream', 'quality', 'server', 'nearby', 'help'}"
inside vpn,0,post082,c110,2,{'protocol'},Sounds like a permissions or DNS resolution issue inside the VPN; check with your IT team.,"{'inside', 'resolution', 'permissions', 'dns', 'vpn', 'check'}"
check permissions,1,post082,c110,2,{'protocol'},Sounds like a permissions or DNS resolution issue inside the VPN; check with your IT team.,"{'inside', 'resolution', 'permissions', 'dns', 'vpn', 'check'}"
dns resolution,2,post082,c110,2,{'protocol'},Sounds like a permissions or DNS resolution issue inside the VPN; check with your IT team.,"{'inside', 'resolution', 'permissions', 'dns', 'vpn', 'check'}"
update laptop work,0,post082,c111,2,"{'protocol', 'device'}","They had to push a DNS update to my laptop, after which everything worked fine.","{'push', 'dns', 'update', 'work', 'laptop'}"
dns update laptop push dns update,2,post082,c111,2,"{'protocol', 'device'}","They had to push a DNS update to my laptop, after which everything worked fine.","{'push', 'dns', 'update', 'work', 'laptop'}"
phone connect 4ghz reconnecting,0,post083,c112,2,"{'org', 'cardinal'}",Phones sometimes connect to 2.4GHz even if 5GHz is available; try forgetting and reconnecting to the right band.,"{'reconnecting', 'right', 'try', 'available', 'connect', '5ghz', '4ghz', 'phone', 'band'}"
right band 5ghz available,1,post083,c112,2,"{'org', 'cardinal'}",Phones sometimes connect to 2.4GHz even if 5GHz is available; try forgetting and reconnecting to the right band.,"{'reconnecting', 'right', 'try', 'available', 'connect', '5ghz', '4ghz', 'phone', 'band'}"
try,2,post083,c112,2,"{'org', 'cardinal'}",Phones sometimes connect to 2.4GHz even if 5GHz is available; try forgetting and reconnecting to the right band.,"{'reconnecting', 'right', 'try', 'available', 'connect', '5ghz', '4ghz', 'phone', 'band'}"
switch 5ghz fix,2,post083,c113,2,{'cardinal'},Switching to 5GHz fixed the speed issues completely.,"{'fix', '5ghz', 'switch'}"
vpn instability,0,post084,c114,2,"{'protocol', 'device'}",VPN instability can be caused by poor network or aggressive firewall settings.,"{'aggressive', 'instability', 'firewall', 'vpn', 'cause', 'settings'}"
aggressive firewall settings,1,post084,c114,2,"{'protocol', 'device'}",VPN instability can be caused by poor network or aggressive firewall settings.,"{'aggressive', 'instability', 'firewall', 'vpn', 'cause', 'settings'}"
change vpn protocols,0,post084,c115,2,"{'protocol', 'device'}",Disabling some firewall rules and changing VPN protocols helped me stay connected.,"{'change', 'rule', 'firewall', 'disable', 'protocols', 'vpn'}"
disable firewall rule,2,post084,c115,2,"{'protocol', 'device'}",Disabling some firewall rules and changing VPN protocols helped me stay connected.,"{'change', 'rule', 'firewall', 'disable', 'protocols', 'vpn'}"
vpn rout unstable latency spike mean jitter packet loss,0,post085,c116,2,"{'protocol', 'network_concept'}",Latency spikes often mean jitter or packet loss; VPN routing may be unstable.,"{'packet', 'latency', 'rout', 'mean', 'loss', 'unstable', 'spike', 'vpn', 'jitter'}"
wifi adapter sleep,0,post086,c118,2,set(),Power management settings might be turning off your Wi-Fi adapter when sleeping.,"{'management', 'wifi', 'turn', 'sleep', 'adapter', 'power', 'settings'}"
power management settings,1,post086,c118,2,set(),Power management settings might be turning off your Wi-Fi adapter when sleeping.,"{'management', 'wifi', 'turn', 'sleep', 'adapter', 'power', 'settings'}"
settings turn wifi,2,post086,c118,2,set(),Power management settings might be turning off your Wi-Fi adapter when sleeping.,"{'management', 'wifi', 'turn', 'sleep', 'adapter', 'power', 'settings'}"
power save wifi,0,post086,c119,2,set(),I disabled power saving on the Wi-Fi card and it fixed the issue.,"{'save', 'wifi', 'disable', 'card', 'power'}"
disable power save,2,post086,c119,2,set(),I disabled power saving on the Wi-Fi card and it fixed the issue.,"{'save', 'wifi', 'disable', 'card', 'power'}"
save wifi card,1,post086,c119,2,set(),I disabled power saving on the Wi-Fi card and it fixed the issue.,"{'save', 'wifi', 'disable', 'card', 'power'}"
switch servers time vpn server overload,0,post088,c122,2,"{'protocol', 'device'}",VPN server overload during peak times is common; switching servers or times might help.,"{'servers', 'switch', 'overload', 'server', 'vpn', 'peak', 'time'}"
overload peak time,1,post088,c122,2,"{'protocol', 'device'}",VPN server overload during peak times is common; switching servers or times might help.,"{'servers', 'switch', 'overload', 'server', 'vpn', 'peak', 'time'}"
make vpn usable,0,post088,c123,2,"{'protocol', 'device'}",Switching to a less popular server made my VPN usable again.,"{'popular', 'usable', 'vpn', 'server', 'make', 'switch'}"
switch popular server,2,post088,c123,2,"{'protocol', 'device'}",Switching to a less popular server made my VPN usable again.,"{'popular', 'usable', 'vpn', 'server', 'make', 'switch'}"
bandwidth,0,post089,c124,2,{'network_concept'},Check if other devices are using lots of bandwidth or if your ISP is having issues.,"{'isp', 'issue', 'bandwidth'}"
isp issue,1,post089,c124,2,{'network_concept'},Check if other devices are using lots of bandwidth or if your ISP is having issues.,"{'isp', 'issue', 'bandwidth'}"
slow,0,post089,c125,2,{'device'},Rebooting the router cleared the slow loading for me.,"{'clear', 'slow', 'reboot', 'router'}"
reboot router,2,post089,c125,2,{'device'},Rebooting the router cleared the slow loading for me.,"{'clear', 'slow', 'reboot', 'router'}"
clear router,2,post089,c125,2,{'device'},Rebooting the router cleared the slow loading for me.,"{'clear', 'slow', 'reboot', 'router'}"
vpn ips try block,0,post090,c126,2,"{'protocol', 'malware'}",Streaming platforms often block known VPN IPs; try rotating servers or premium VPNs.,"{'premium', 'vpns', 'servers', 'try', 'know', 'ips', 'vpn', 'block'}"
know vpn servers,1,post090,c126,2,"{'protocol', 'malware'}",Streaming platforms often block known VPN IPs; try rotating servers or premium VPNs.,"{'premium', 'vpns', 'servers', 'try', 'know', 'ips', 'vpn', 'block'}"
premium vpns,2,post090,c126,2,"{'protocol', 'malware'}",Streaming platforms often block known VPN IPs; try rotating servers or premium VPNs.,"{'premium', 'vpns', 'servers', 'try', 'know', 'ips', 'vpn', 'block'}"
vpn fix issue,0,post090,c127,2,{'protocol'},Upgrading to a streaming-optimized VPN fixed the issue.,"{'streamingoptimized', 'issue', 'fix', 'vpn', 'upgrade'}"
upgrade streamingoptimized vpn,2,post090,c127,2,{'protocol'},Upgrading to a streaming-optimized VPN fixed the issue.,"{'streamingoptimized', 'issue', 'fix', 'vpn', 'upgrade'}"
streamingoptimized vpn fix,1,post090,c127,2,{'protocol'},Upgrading to a streaming-optimized VPN fixed the issue.,"{'streamingoptimized', 'issue', 'fix', 'vpn', 'upgrade'}"
driver disconnect,0,post098,c142,2,set(),"Reverting to the old driver solved the disconnects, thanks!","{'solve', 'revert', 'disconnect', 'old', 'driver'}"
solve revert old driver,2,post098,c142,2,set(),"Reverting to the old driver solved the disconnects, thanks!","{'solve', 'revert', 'disconnect', 'old', 'driver'}"
drivers bug check,0,post099,c143,2,set(),Sometimes new drivers have bugs; check for patches or rollback.,"{'patch', 'bug', 'rollback', 'drivers', 'check'}"
check patch,1,post099,c143,2,set(),Sometimes new drivers have bugs; check for patches or rollback.,"{'patch', 'bug', 'rollback', 'drivers', 'check'}"
rollback,2,post099,c143,2,set(),Sometimes new drivers have bugs; check for patches or rollback.,"{'patch', 'bug', 'rollback', 'drivers', 'check'}"
driver speed normal,0,post099,c144,2,set(),Rolled back the driver and speeds are back to normal.,"{'normal', 'driver', 'speed'}"
reduce ping spike,0,post100,c146,2,{'tool'},Disabling power saving helped reduce the ping spikes. Thanks!,"{'save', 'disable', 'reduce', 'ping', 'spike', 'power'}"
disable power save,2,post100,c146,2,{'tool'},Disabling power saving helped reduce the ping spikes. Thanks!,"{'save', 'disable', 'reduce', 'ping', 'spike', 'power'}"
buffer problems,0,post101,c148,2,{'configuration_setting'},Adjusting QoS settings fixed the buffering problems.,"{'problems', 'qos', 'adjust', 'fix', 'settings', 'buffer'}"
adjust qos settings,2,post101,c148,2,{'configuration_setting'},Adjusting QoS settings fixed the buffering problems.,"{'problems', 'qos', 'adjust', 'fix', 'settings', 'buffer'}"
fix buffer,2,post101,c148,2,{'configuration_setting'},Adjusting QoS settings fixed the buffering problems.,"{'problems', 'qos', 'adjust', 'fix', 'settings', 'buffer'}"
driver compatibility issue,0,post102,c149,2,{'protocol'},Check if the new driver has compatibility issues with VPN protocols.,"{'compatibility', 'issue', 'protocols', 'vpn', 'driver'}"
issue vpn protocols,1,post102,c149,2,{'protocol'},Check if the new driver has compatibility issues with VPN protocols.,"{'compatibility', 'issue', 'protocols', 'vpn', 'driver'}"
restore vpn connectivity,0,post102,c150,2,{'protocol'},Switching back to the previous driver restored VPN connectivity.,"{'connectivity', 'restore', 'previous', 'vpn', 'driver'}"
previous driver restore,2,post102,c150,2,{'protocol'},Switching back to the previous driver restored VPN connectivity.,"{'connectivity', 'restore', 'previous', 'vpn', 'driver'}"
try reset network,2,post103,c151,2,set(),Try resetting the network adapter and forget/reconnect the Wi-Fi network.,"{'reset', 'network', 'try', 'adapter', 'forgetreconnect'}"
network adapter forgetreconnect,2,post103,c151,2,set(),Try resetting the network adapter and forget/reconnect the Wi-Fi network.,"{'reset', 'network', 'try', 'adapter', 'forgetreconnect'}"
check network discovery settings,0,post104,c153,2,set(),Check if network discovery and file sharing settings got disabled after the update.,"{'network', 'disable', 'discovery', 'update', 'settings', 'file', 'check'}"
disable update network discovery file,2,post104,c153,2,set(),Check if network discovery and file sharing settings got disabled after the update.,"{'network', 'disable', 'discovery', 'update', 'settings', 'file', 'check'}"
settings restore lan,2,post104,c154,2,{'network_concept'},Re-enabling those settings restored LAN sharing.,"{'lan', 'restore', 'settings', 'reenabling'}"
reenabling settings restore,2,post104,c154,2,{'network_concept'},Re-enabling those settings restored LAN sharing.,"{'lan', 'restore', 'settings', 'reenabling'}"
flush dns reset,0,post105,c155,2,{'protocol'},Try flushing DNS and resetting TCP/IP stack after updating drivers.,"{'stack', 'reset', 'tcpip', 'dns', 'flush'}"
reset tcpip stack,2,post105,c155,2,{'protocol'},Try flushing DNS and resetting TCP/IP stack after updating drivers.,"{'stack', 'reset', 'tcpip', 'dns', 'flush'}"
dns reset tcpip,2,post105,c155,2,{'protocol'},Try flushing DNS and resetting TCP/IP stack after updating drivers.,"{'stack', 'reset', 'tcpip', 'dns', 'flush'}"
flush dns,2,post105,c156,2,{'protocol'},Flushing DNS and resetting fixed the connectivity issue.,"{'connectivity', 'reset', 'dns', 'fix', 'flush'}"
reset reset,2,post105,c156,2,{'protocol'},Flushing DNS and resetting fixed the connectivity issue.,"{'connectivity', 'reset', 'dns', 'fix', 'flush'}"
fix connectivity,0,post105,c156,2,{'protocol'},Flushing DNS and resetting fixed the connectivity issue.,"{'connectivity', 'reset', 'dns', 'fix', 'flush'}"
packet loss,0,post106,c157,2,set(),Packet loss can be driver-related; try disabling advanced features like Large Send Offload.,"{'packet', 'offload', 'loss', 'large', 'driverrelated', 'send'}"
driverrelated,1,post106,c157,2,set(),Packet loss can be driver-related; try disabling advanced features like Large Send Offload.,"{'packet', 'offload', 'loss', 'large', 'driverrelated', 'send'}"
large send offload,2,post106,c157,2,set(),Packet loss can be driver-related; try disabling advanced features like Large Send Offload.,"{'packet', 'offload', 'loss', 'large', 'driverrelated', 'send'}"
hotspot network driver properties,0,post107,c160,2,set(),Enabling hosted network in driver properties fixed the hotspot.,"{'network', 'hotspot', 'enable', 'properties', 'fix', 'driver', 'host'}"
properties fix,2,post107,c160,2,set(),Enabling hosted network in driver properties fixed the hotspot.,"{'network', 'hotspot', 'enable', 'properties', 'fix', 'driver', 'host'}"
enable host network,2,post107,c160,2,set(),Enabling hosted network in driver properties fixed the hotspot.,"{'network', 'hotspot', 'enable', 'properties', 'fix', 'driver', 'host'}"
